id,小区名称,所在区域,总价,单价,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,产权年限,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件
22,金宁新村小区,鼓楼,148,30834元/平米,2室1厅1厨1卫,中楼层 (共5层),48㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯三户,无,null,2020-07-06,房改房,暂无数据,普通住宅,暂无数据,共有,"
                                无抵押
                              ",未上传房本照片
23,北阴阳营8号,鼓楼,239,40502元/平米,2室1厅1厨1卫,中楼层 (共4层),59.01㎡,平层,暂无数据,板楼,南 北,砖混结构,毛坯,一梯四户,无,null,2020-07-22,房改房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
24,新河一村,鼓楼,420,63695元/平米,2室1厅1厨1卫,高楼层 (共7层),65.94㎡,平层,暂无数据,板楼,南 北,砖混结构,简装,一梯三户,无,null,2019-03-17,商品房,2017-06-27,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片
25,清江花苑明月园,鼓楼,539.8,58841元/平米,3室1厅1厨1卫,低楼层 (共7层),91.74㎡,平层,82.09㎡,板楼,南 北,钢混结构,简装,一梯两户,无,null,2020-07-14,商品房,2015-09-11,普通住宅,满两年,共有,"
                                有抵押 120万元 招商 业主自还
                              ",已上传房本照片
26,康居新寓,鼓楼,240,30315元/平米,2室1厅1厨1卫,中楼层 (共7层),79.17㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,一梯两户,无,null,2020-07-11,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                无抵押
                              ",未上传房本照片
27,凤凰西街188号,鼓楼,285,37212元/平米,3室1厅1厨1卫,中楼层 (共7层),76.59㎡,平层,暂无数据,板楼,南,砖混结构,其他,一梯三户,无,null,2020-07-14,动迁安置房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
28,幕府一村,鼓楼,175,30810元/平米,2室1厅1厨1卫,中楼层 (共5层),56.8㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,一梯两户,无,null,2020-06-22,商品房,2017-06-16,普通住宅,满两年,非共有,"
                                有抵押 50万元 客户偿还
                              ",已上传房本照片
29,紫竹林2号,鼓楼,140,35372元/平米,1室1厅1厨1卫,低楼层 (共6层),39.58㎡,平层,暂无数据,板楼,南,砖混结构,精装,一梯两户,无,null,2020-07-20,房改房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
30,镇江路,鼓楼,150,29048元/平米,2室1厅1厨1卫,中楼层 (共6层),51.64㎡,平层,44.76㎡,板楼,南,砖混结构,精装,一梯两户,无,null,2019-11-19,商品房,2012-09-24,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
31,上元里,鼓楼,145,25655元/平米,2室1厅1厨1卫,中楼层 (共7层),56.52㎡,平层,暂无数据,板塔结合,南,砖混结构,简装,一梯三户,无,null,2020-07-03,商品房,2000-02-05,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
32,世茂外滩新城,鼓楼,770,55071元/平米,3室2厅1厨2卫,中楼层 (共55层),139.82㎡,平层,103.56㎡,暂无数据,南 北,未知结构,精装,两梯三户,有,null,2020-07-10,商品房,2017-06-09,普通住宅,满两年,非共有,"
                                有抵押 345万元 农业银行 客户偿还
                              ",已上传房本照片
33,金陵新三村,鼓楼,150,28292元/平米,2室1厅1厨1卫,低楼层 (共6层),53.02㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯三户,无,null,2020-04-20,房改房,1999-05-18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
34,凤凰庄,鼓楼,278,52923元/平米,2室1厅1厨1卫,中楼层 (共6层),52.53㎡,平层,暂无数据,板楼,南 北,砖混结构,其他,一梯十二户,无,null,2020-07-20,房改房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
35,南京财经大学教师宿舍,鼓楼,175,29874元/平米,2室1厅0厨1卫,高楼层 (共6层),58.58㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,无,null,2020-07-02,房改房,2009-11-03,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
36,辰龙广场,鼓楼,615,52968元/平米,3室2厅1厨2卫,中楼层 (共28层),116.11㎡,平层,暂无数据,板楼,南 西 北,钢混结构,精装,三梯五户,有,null,2019-01-03,商品房,2005-05-20,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
37,东宝花园,鼓楼,460,77520元/平米,2室1厅1厨1卫,中楼层 (共6层),59.34㎡,平层,暂无数据,板楼,东 南 北,钢混结构,简装,一梯两户,无,null,2020-05-21,商品房,2017-01-10,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
38,姜家园,鼓楼,248,37628元/平米,3室2厅1厨1卫,中楼层 (共4层),65.91㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,无,null,2020-07-06,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
39,宝地园,鼓楼,265,46492元/平米,2室1厅1厨1卫,中楼层 (共6层),57㎡,平层,暂无数据,板楼,南,砖混结构,简装,一梯两户,无,null,2020-06-23,房改房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
40,虎啸花园,鼓楼,605,52327元/平米,3室2厅1厨1卫,中楼层 (共7层),115.62㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯两户,无,null,2020-03-08,商品房,2017-01-22,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
41,长阳花园,鼓楼,629,62087元/平米,2室2厅1厨1卫,低楼层 (共5层),101.31㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,无,null,2020-07-08,商品房,2015-01-28,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
42,凤凰西街186号,鼓楼,400,42804元/平米,3室2厅1厨1卫,中楼层 (共7层),93.45㎡,平层,83.85㎡,板楼,南 北,砖混结构,精装,一梯一户,无,null,2020-03-31,房改房,2001-03-03,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
43,云谷山庄,鼓楼,220,32748元/平米,2室1厅1厨1卫,低楼层 (共11层),67.18㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,一梯三户,有,null,2020-07-19,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
44,盐仓桥,鼓楼,129,41613元/平米,2室1厅1厨1卫,低楼层 (共1层),31㎡,平层,暂无数据,暂无数据,南,未知结构,精装,一梯四户,暂无数据,null,2020-07-07,房改房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
